# 海峰五笔码表中的笔顺表
# 原始数据为 http://okuc.net/software/sunwb_mb.rar
# 本表由原始数据中 GBK、CJKa、CJKb 三部分数据笔顺合并整理而成
# 刘海洋
〇	5
㐀	21211
㐁	125341
㐂	151515
㐃	542
㐄	152
㐅	34
㐆	335115
㐇	355
㐈	345
㐉	125
㐊	1215
㐋	1215
㐌	31525
㐍	34435
㐎	41345
㐏	12515
㐐	531545
㐑	354445
㐒	532515
㐓	125125
㐔	412515
㐕	251215
㐖	1212515
㐗	1213355
㐘	4312345
㐙	12514315
㐚	12512515
㐛	32132515
㐜	124134435
㐝	121352515
㐞	122111345
㐟	211121115
㐠	344352155
㐡	35132522134
㐢	44134435215
㐣	41312511125
㐤	351225111134
㐥	3411243125111535
㐦	321115251113431125
㐧	4523
㐨	54525452
㐩	22322232
㐪	415234
㐫	413452
㐬	4154325
㐭	41252511
㐮	4134112213534
㐯	41251251312342511
㐰	32251
㐱	34333
㐲	32134
㐳	32135
㐴	32354
㐵	32112
㐶	32515
㐷	32551
㐸	323534
㐹	323115
㐺	323234
㐻	322534
㐼	323132
㐽	323534
㐾	321135
㐿	323112
㑀	321344
㑁	3252252
㑂	3212534
㑃	3255453
㑄	3255414
㑅	3231211
㑆	3225135
㑇	3235511
㑈	3215234
㑉	32351354
㑊	32413234
㑋	32251221
㑌	32111215
㑍	32111234
㑎	32555252
㑏	32445124
㑐	32211234
㑑	32325111
㑒	34125134
㑓	32541354
㑔	32132534
㑕	32252354
㑖	32322512
㑗	323251113
㑘	321132534
㑙	321221115
㑚	32511352
㑛	321251234
㑜	321213312
㑝	321121132
㑞	324334132
㑟	323212134
㑠	322254121
㑡	325115452
㑢	321215452
㑣	3212341234
㑤	3212225121
㑥	3225113533
㑦	324511344
㑧	3231234521
㑨	3225131134
㑩	3225221354
㑪	3241343211
㑫	3234454544
㑬	3253112251
㑭	3225121132
㑮	32451251112
㑯	32132511134
㑰	32551353334
㑱	32545231234
㑲	32122543112
㑳	323552335523
㑴	325114525254
㑵	324134131134
㑶	323115431234
㑷	325425113535
㑸	321225112512
㑹	341251212511
㑺	323241112153
㑻	3244545434252
㑼	3225121354251
㑽	3224345251121
㑾	3235444111251
㑿	3255525111234
㒀	3241432512251
㒁	322512134112
㒂	3212212132511
㒃	32111251113454
㒄	32354413444444
㒅	32413543543534
㒆	32341251541541
㒇	32311222214444
㒈	3251221113134
㒉	32243452511234
㒊	3253421215342121
㒋	32122111343312
㒌	32433443344535
㒍	32545454554234
㒎	32113421112111
㒏	32445112213444
㒐	32314314352511
㒑	321441324111215
㒒	322243143111234
㒓	32121431112454
㒔	322522135251214
㒕	324155332411121
㒖	32122251125214
㒗	321221145154121
㒘	321251255441431
㒙	3255444432511252
㒚	3234431215114544
㒛	3254154132411121
㒜	323211152511134
㒝	3212225221134534
㒞	32252324111212525
㒟	324112112544443534
㒠	322135454211121111
㒡	3234433112523554234
㒢	3234125125125125122
㒣	3241332324111214544
㒤	32122111122111122111
㒥	32111221112521251431
㒦	32251212512125121121
㒧	32413452255432411121
㒨	323211325341511134515
㒩	32551353334251214251214
㒪	3412512512512521211353334
㒫	121135
㒬	11351121
㒭	2513525135
㒮	11351353334
㒯	2431351221122112
㒰	34121
㒱	34354
㒲	342511
㒳	2523434
㒴	3452252
㒵	3251134
㒶	3432511
㒷	2534134
㒸	431353334
㒹	12251111341225111134
㒺	25431345
㒻	25112511135
㒼	12212523434
㒽	251143113455
㒾	2511415331525
㒿	2511413452255432411121
㓀	4524
㓁	4534
㓂	451135531
㓃	454111251315
㓄	545454343334535
㓅	4112
㓆	413435
㓇	413134
㓈	4113251
㓉	41312251
㓊	41251251
㓋	41122134
㓌	41341121
㓍	41415435
㓎	415114554
㓏	412534251
㓐	4112134121
㓑	4112143112
㓒	4115342444
㓓	41122543112
㓔	413251113124
㓕	411314334534
㓖	412511122112
㓗	41111253554234
㓘	35135411214
㓙	413452
㓚	12122
㓛	12153
㓜	55453
㓝	113222
㓞	111253
㓟	5325422
㓠	2125122
㓡	31125222
㓢	35425122
㓣	34125122
㓤	12125122
㓥	24351122
㓦	13251122
㓧	344525122
㓨	134343422
㓩	353511222
㓪	45115453
㓫	134113222
㓬	4311345322
㓭	25113534522
㓮	3512125122
㓯	5552512122
㓰	1251215222
㓱	34125112222
㓲	45132512222
㓳	25111213422
㓴	13252213422
㓵	25125111522
㓶	11125313422
㓷	325111123422
㓸	551551512122
㓹	134334433422
㓺	215315413422
㓻	252211212122
㓼	1234342413422
㓽	2524451123422
㓾	51324134311222
㓿	31234342413422
㔀	25114125123422
㔁	54334125143122
㔂	43123435415211
㔃	55444435521553
㔄	12522143123422
㔅	511232115521222
㔆	15351535251122
㔇	54334515345422
㔈	1222111211122
㔉	51332512521422
㔊	412525112511122
㔋	1251253142522122
㔌	1221115432333422
㔍	3143142511113222
㔎	523325151414311253
㔏	13251132511325122
㔐	314314121112111122
㔑	122325151414311253
㔒	25232411121253425122
㔓	31253
㔔	532515
㔕	311553
㔖	532515
㔗	5153253
㔘	5225253
㔙	43113253
㔚	31225153
㔛	12125153
㔜	344352153
㔝	1252343453
㔞	3122113553
㔟	3112135453
㔠	25113534553
㔡	325341153553
㔢	55444435521553
㔣	25121251212512153
㔤	44534312342512153
㔥	25221542511353553
㔦	4311134451153453
㔧	215315251212522153
㔨	35211352511
㔩	351215425221
㔪	3521253444441
㔫	1335
㔬	35251112
㔭	15251112134
㔮	122125111345425113535
㔯	1352515
㔰	1354245
㔱	1321511345
㔲	134451154355
㔳	134451154355
㔴	1251211221345
㔵	15155151221345
㔶	14143125111235412125111345
㔷	1125345
㔸	133215315355
㔹	1253
㔺	121512
㔻	132412
㔼	1213241112112
㔽	21252511
㔾	55
㔿	152
㕀	2512155
㕁	34135452
㕂	233445
㕃	131132
㕄	131554
㕅	1325112
㕆	1312251
㕇	1341431
㕈	13413534
㕉	13341251
㕊	131251124
㕋	1334112431
㕌	1325111124
㕍	1332411121
㕎	131215425221
㕏	1312514314412
㕐	13321511354444
㕑	13121251431124
㕒	134311213121534
㕓	13254312114444121
㕔	131221111121132522114544
㕕	5454
㕖	5454541234
㕗	43112135454
㕘	54545434234
㕙	543435435251354
㕚	5444
㕛	5454
㕜	251254
㕝	1225154
㕞	51325254
㕟	212512254
㕠	413241112154
㕡	21451343425154
㕢	21451251113454
㕣	34251
㕤	25135
㕥	25134
㕦	251134
㕧	251513
㕨	251354
㕩	2511112
㕪	2514535
㕫	2514153
㕬	2513454
㕭	2513134
㕮	2513434
㕯	2534251
㕰	2513115
㕱	2511354
㕲	2511234
㕳	2513452
㕴	2514535
㕵	2511121
㕶	2511251
㕷	25132511
㕸	25141431
㕹	25113544
㕺	25125115
㕻	41324251
㕼	25135345
㕽	2515434
㕾	23425135
㕿	31234251
㖀	251511112
㖁	251341354
㖂	251251153
㖃	251331251
㖄	251434242
㖅	251131534
㖆	251251221
㖇	251132522
㖈	121335251
㖉	251342121
㖊	251511124
㖋	343225135
㖌	323525135
㖍	441225135
㖎	251353432
㖏	2512511121
㖐	2512515113
㖑	2511132534
㖒	2514351523
㖓	2513541112
㖔	2511134251
㖕	2514143112
㖖	4143112251
㖗	2512523445
㖘	2511311534
㖙	5325125135
㖚	3212425135
㖛	1225125135
㖜	4125125135
㖝	1123425135
㖞	2512512534
㖟	25134434554
㖠	25113411234
㖡	25141323544
㖢	251413212135
㖣	25141431251
㖤	25152413452
㖥	25125312341
㖦	25112511234
㖧	25135152511
㖨	25151124134
㖩	25112211154
㖪	25112511534
㖫	25112134354
㖬	25132151154
㖭	25111342444
㖮	25134125122
㖯	25125125135
㖰	25135251251
㖱	41323544251
㖲	53125125135
㖳	44153125135
㖴	2511223533
㖵	25125111134
㖶	251125221121
㖷	251251112134
㖸	251215315151
㖹	251345325221
㖺	251111342511
㖻	251545231234
㖼	251122111234
㖽	251132511134
㖾	251251431523
㖿	25112211152
㗀	251255455452
㗁	251251251115
㗂	251234325111
㗃	251515152511
㗄	251252214153
㗅	251122513511
㗆	251122125112
㗇	251512115154
㗈	251542511253
㗉	111253354251
㗊	251251251251
㗋	251351331134
㗌	251445154121
㗍	251312342511
㗎	251532511234
㗏	251132412121
㗐	251134425221
㗑	251311311112
㗒	251412513534
㗓	251325151454
㗔	2512153154134
㗕	2511122125211
㗖	2513443321511
㗗	2515332511312
㗘	2511251124124
㗙	2513552335523
㗚	2511252211234
㗛	2513143143134
㗜	2514155425121
㗝	2514311214444
㗞	2511325153254
㗟	4414112125135
㗠	5315425125135
㗡	122325325135
㗢	25131251121153
㗣	25112213545252
㗤	13211234534251
㗥	2514125152152
㗦	25112211135352
㗧	25144534154121
㗨	13113453554251
㗩	25154154132511
㗪	251212135554234
㗫	25135445411234
㗬	24345251354354
㗭	25134312344544
㗮	35425141351134
㗯	1213251125135
㗰	25133234342134
㗱	251324111211234
㗲	251511121251211
